path	emotion
./emovo/m1/pau-m1-n4.wav	fear
./emovo/m3/sor-m3-d1.wav	surprise
./emovo/m3/rab-m3-l2.wav	angry
./emovo/f2/sor-f2-l1.wav	surprise
./emovo/f2/pau-f2-b3.wav	fear
./emovo/m3/neu-m3-l4.wav	neutral
./emovo/m1/sor-m1-b1.wav	surprise
./emovo/m2/gio-m2-n1.wav	happy
./emovo/f2/pau-f2-b2.wav	fear
./emovo/f1/gio-f1-n4.wav	happy
./emovo/m2/sor-m2-d2.wav	surprise
./emovo/f1/rab-f1-b3.wav	angry
./emovo/m3/gio-m3-b3.wav	happy
./emovo/m3/rab-m3-b3.wav	angry
./emovo/f2/sor-f2-n2.wav	surprise
./emovo/m1/dis-m1-l1.wav	disgust
./emovo/m1/tri-m1-b3.wav	sad
./emovo/m2/rab-m2-d1.wav	angry
./emovo/f1/tri-f1-n1.wav	sad
./emovo/m3/neu-m3-n5.wav	neutral
./emovo/m1/pau-m1-l1.wav	fear
./emovo/m1/neu-m1-n1.wav	neutral
./emovo/m3/neu-m3-d2.wav	neutral
./emovo/m3/sor-m3-n3.wav	surprise
./emovo/f3/tri-f3-l2.wav	sad
./emovo/m3/neu-m3-n4.wav	neutral
./emovo/f3/neu-f3-b1.wav	neutral
./emovo/f3/gio-f3-n4.wav	happy
./emovo/m2/tri-m2-l2.wav	sad
./emovo/m1/rab-m1-l3.wav	angry
./emovo/m2/tri-m2-n4.wav	sad
./emovo/m2/sor-m2-b1.wav	surprise
./emovo/f2/sor-f2-d2.wav	surprise
./emovo/m2/pau-m2-n4.wav	fear
./emovo/f2/rab-f2-n4.wav	angry
./emovo/m3/pau-m3-b2.wav	fear
./emovo/f3/neu-f3-n1.wav	neutral
./emovo/f1/tri-f1-n5.wav	sad
./emovo/m2/rab-m2-d2.wav	angry
./emovo/f1/pau-f1-n4.wav	fear
./emovo/m1/dis-m1-n3.wav	disgust
./emovo/f3/tri-f3-l3.wav	sad
./emovo/f3/pau-f3-d2.wav	fear
./emovo/f1/dis-f1-n2.wav	disgust
./emovo/m2/rab-m2-n4.wav	angry
./emovo/m1/rab-m1-b2.wav	angry
./emovo/f1/sor-f1-l2.wav	surprise
./emovo/m1/gio-m1-l2.wav	happy
./emovo/m1/rab-m1-b3.wav	angry
./emovo/f1/tri-f1-l2.wav	sad
./emovo/f3/gio-f3-n3.wav	happy
./emovo/f3/dis-f3-b3.wav	disgust
./emovo/m2/rab-m2-l1.wav	angry
./emovo/m2/tri-m2-b1.wav	sad
./emovo/f1/tri-f1-l3.wav	sad
./emovo/m3/tri-m3-b3.wav	sad
./emovo/f2/rab-f2-n1.wav	angry
./emovo/m3/gio-m3-b2.wav	happy
./emovo/m1/pau-m1-n3.wav	fear
./emovo/m2/sor-m2-d1.wav	surprise
